
> 10 Best asap scores (probabilities evaluated with seq length:638)
  distance  #species   #spec w/rec  p-value pente asap-score
   0.2183        2             2  1.018e-01 2.516041e-01 	1.000000 
*  0.0126       19            19  3.513e-01 2.040233e-02 	5.500000 
   0.0035       35            35  2.096e-01 1.375816e-02 	7.500000 
*  0.0113       20            20  3.473e-01 1.430616e-02 	8.500000 
*  0.0103       21            21  2.176e-01 1.245048e-02 	10.000000 
*  0.0073       25            25  6.786e-01 1.793864e-02 	10.000000 
*  0.0091       23            23  1.517e-01 1.122886e-02 	11.000000 
*  0.0050       32            32  4.950e-01 1.231137e-02 	12.500000 
   0.0791        4             4  8.303e-01 2.290099e-02 	12.500000 
*  0.0068       26            26  6.766e-01 1.297183e-02 	13.500000 
